Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Ardenville Wind (ARD1),68,7,2015,4,2,18,0
Blackspring Ridge (BSR1),300,1,2015,4,2,18,0
Blue Trail Wind (BTR1),66,0,2015,4,2,18,0
Castle River #1 (CR1),39,28,2015,4,2,18,0
Castle Rock Wind Farm (CRR1),77,40,2015,4,2,18,0
Cowley Ridge (CRW1),38,18,2015,4,2,18,0
Enmax Taber (TAB1),81,4,2015,4,2,18,0
Ghost Pine (NEP1),82,58,2015,4,2,18,0
Halkirk Wind Power Facility (HAL1),150,45,2015,4,2,18,0
Kettles Hill (KHW1),63,43,2015,4,2,18,0
McBride Lake Windfarm (AKE1),73,0,2015,4,2,18,0
Oldman 2 Wind Farm 1 (OWF1),46,10,2015,4,2,18,0
Soderglen Wind  (GWW1),71,3,2015,4,2,18,0
Summerview 1 (IEW1),66,2,2015,4,2,18,0
Summerview 2 (IEW2),66,2,2015,4,2,18,0
Suncor Chin Chute (SCR3),30,0,2015,4,2,18,0
Suncor Magrath (SCR2),30,0,2015,4,2,18,0
Suncor Wintering Hills (SCR4),88,87,2015,4,2,18,0
Ardenville Wind (ARD1),68,8,2015,4,2,18,1
Blackspring Ridge (BSR1),300,1,2015,4,2,18,1
Blue Trail Wind (BTR1),66,0,2015,4,2,18,1
Castle River #1 (CR1),39,28,2015,4,2,18,1
Castle Rock Wind Farm (CRR1),77,39,2015,4,2,18,1
Cowley Ridge (CRW1),38,17,2015,4,2,18,1
Enmax Taber (TAB1),81,4,2015,4,2,18,1
Ghost Pine (NEP1),82,56,2015,4,2,18,1
Halkirk Wind Power Facility (HAL1),150,45,2015,4,2,18,1
Kettles Hill (KHW1),63,44,2015,4,2,18,1
McBride Lake Windfarm (AKE1),73,0,2015,4,2,18,1
Oldman 2 Wind Farm 1 (OWF1),46,9,2015,4,2,18,1
Soderglen Wind  (GWW1),71,4,2015,4,2,18,1
Summerview 1 (IEW1),66,3,2015,4,2,18,1
Summerview 2 (IEW2),66,2,2015,4,2,18,1
Suncor Chin Chute (SCR3),30,0,2015,4,2,18,1
Suncor Magrath (SCR2),30,0,2015,4,2,18,1
Suncor Wintering Hills (SCR4),88,87,2015,4,2,18,1
Ardenville Wind (ARD1),68,8,2015,4,2,18,2
Blackspring Ridge (BSR1),300,1,2015,4,2,18,2
Blue Trail Wind (BTR1),66,0,2015,4,2,18,2
Castle River #1 (CR1),39,28,2015,4,2,18,2
Castle Rock Wind Farm (CRR1),77,42,2015,4,2,18,2
Cowley Ridge (CRW1),38,17,2015,4,2,18,2
Enmax Taber (TAB1),81,3,2015,4,2,18,2
Ghost Pine (NEP1),82,57,2015,4,2,18,2
Halkirk Wind Power Facility (HAL1),150,45,2015,4,2,18,2
Kettles Hill (KHW1),63,45,2015,4,2,18,2
McBride Lake Windfarm (AKE1),73,0,2015,4,2,18,2
Oldman 2 Wind Farm 1 (OWF1),46,8,2015,4,2,18,2
Soderglen Wind  (GWW1),71,4,2015,4,2,18,2
Summerview 1 (IEW1),66,2,2015,4,2,18,2
Summerview 2 (IEW2),66,2,2015,4,2,18,2
Suncor Chin Chute (SCR3),30,0,2015,4,2,18,2
Suncor Magrath (SCR2),30,0,2015,4,2,18,2
Suncor Wintering Hills (SCR4),88,87,2015,4,2,18,2
Ardenville Wind (ARD1),68,8,2015,4,2,18,3
Blackspring Ridge (BSR1),300,1,2015,4,2,18,3
Blue Trail Wind (BTR1),66,0,2015,4,2,18,3
Castle River #1 (CR1),39,30,2015,4,2,18,3
Castle Rock Wind Farm (CRR1),77,44,2015,4,2,18,3
Cowley Ridge (CRW1),38,16,2015,4,2,18,3
Enmax Taber (TAB1),81,3,2015,4,2,18,3
Ghost Pine (NEP1),82,57,2015,4,2,18,3
Halkirk Wind Power Facility (HAL1),150,40,2015,4,2,18,3
Kettles Hill (KHW1),63,46,2015,4,2,18,3
McBride Lake Windfarm (AKE1),73,0,2015,4,2,18,3
Oldman 2 Wind Farm 1 (OWF1),46,9,2015,4,2,18,3
Soderglen Wind  (GWW1),71,4,2015,4,2,18,3
Summerview 1 (IEW1),66,3,2015,4,2,18,3
Summerview 2 (IEW2),66,2,2015,4,2,18,3
Suncor Chin Chute (SCR3),30,0,2015,4,2,18,3
Suncor Magrath (SCR2),30,0,2015,4,2,18,3
Suncor Wintering Hills (SCR4),88,87,2015,4,2,18,3
Ardenville Wind (ARD1),68,8,2015,4,2,18,4
Blackspring Ridge (BSR1),300,0,2015,4,2,18,4
Blue Trail Wind (BTR1),66,0,2015,4,2,18,4
Castle River #1 (CR1),39,31,2015,4,2,18,4
Castle Rock Wind Farm (CRR1),77,44,2015,4,2,18,4
Cowley Ridge (CRW1),38,18,2015,4,2,18,4
Enmax Taber (TAB1),81,3,2015,4,2,18,4
Ghost Pine (NEP1),82,53,2015,4,2,18,4
Halkirk Wind Power Facility (HAL1),150,40,2015,4,2,18,4
Kettles Hill (KHW1),63,49,2015,4,2,18,4
McBride Lake Windfarm (AKE1),73,0,2015,4,2,18,4
Oldman 2 Wind Farm 1 (OWF1),46,8,2015,4,2,18,4
Soderglen Wind  (GWW1),71,5,2015,4,2,18,4
Summerview 1 (IEW1),66,5,2015,4,2,18,4
Summerview 2 (IEW2),66,2,2015,4,2,18,4
Suncor Chin Chute (SCR3),30,0,2015,4,2,18,4
Suncor Magrath (SCR2),30,0,2015,4,2,18,4
Suncor Wintering Hills (SCR4),88,87,2015,4,2,18,4
Ardenville Wind (ARD1),68,9,2015,4,2,18,5
Blackspring Ridge (BSR1),300,0,2015,4,2,18,5
Blue Trail Wind (BTR1),66,0,2015,4,2,18,5
Castle River #1 (CR1),39,31,2015,4,2,18,5
Castle Rock Wind Farm (CRR1),77,40,2015,4,2,18,5
