Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Ardenville Wind (ARD1),68,1,2015,4,2,11,0
Blackspring Ridge (BSR1),300,20,2015,4,2,11,0
Blue Trail Wind (BTR1),66,3,2015,4,2,11,0
Castle River #1 (CR1),39,0,2015,4,2,11,0
Castle Rock Wind Farm (CRR1),77,0,2015,4,2,11,0
Cowley Ridge (CRW1),38,0,2015,4,2,11,0
Enmax Taber (TAB1),81,3,2015,4,2,11,0
Ghost Pine (NEP1),82,10,2015,4,2,11,0
Halkirk Wind Power Facility (HAL1),150,14,2015,4,2,11,0
Kettles Hill (KHW1),63,0,2015,4,2,11,0
McBride Lake Windfarm (AKE1),73,0,2015,4,2,11,0
Oldman 2 Wind Farm 1 (OWF1),46,0,2015,4,2,11,0
Soderglen Wind  (GWW1),71,1,2015,4,2,11,0
Summerview 1 (IEW1),66,0,2015,4,2,11,0
Summerview 2 (IEW2),66,0,2015,4,2,11,0
Suncor Chin Chute (SCR3),30,2,2015,4,2,11,0
Suncor Magrath (SCR2),30,1,2015,4,2,11,0
Suncor Wintering Hills (SCR4),88,87,2015,4,2,11,0
Ardenville Wind (ARD1),68,1,2015,4,2,11,1
Blackspring Ridge (BSR1),300,18,2015,4,2,11,1
Blue Trail Wind (BTR1),66,4,2015,4,2,11,1
Castle River #1 (CR1),39,0,2015,4,2,11,1
Castle Rock Wind Farm (CRR1),77,0,2015,4,2,11,1
Cowley Ridge (CRW1),38,0,2015,4,2,11,1
Enmax Taber (TAB1),81,3,2015,4,2,11,1
Ghost Pine (NEP1),82,11,2015,4,2,11,1
Halkirk Wind Power Facility (HAL1),150,16,2015,4,2,11,1
Kettles Hill (KHW1),63,0,2015,4,2,11,1
McBride Lake Windfarm (AKE1),73,0,2015,4,2,11,1
Oldman 2 Wind Farm 1 (OWF1),46,0,2015,4,2,11,1
Soderglen Wind  (GWW1),71,1,2015,4,2,11,1
Summerview 1 (IEW1),66,0,2015,4,2,11,1
Summerview 2 (IEW2),66,0,2015,4,2,11,1
Suncor Chin Chute (SCR3),30,2,2015,4,2,11,1
Suncor Magrath (SCR2),30,1,2015,4,2,11,1
Suncor Wintering Hills (SCR4),88,87,2015,4,2,11,1
Ardenville Wind (ARD1),68,1,2015,4,2,11,2
Blackspring Ridge (BSR1),300,20,2015,4,2,11,2
Blue Trail Wind (BTR1),66,3,2015,4,2,11,2
Castle River #1 (CR1),39,0,2015,4,2,11,2
Castle Rock Wind Farm (CRR1),77,0,2015,4,2,11,2
Cowley Ridge (CRW1),38,0,2015,4,2,11,2
Enmax Taber (TAB1),81,3,2015,4,2,11,2
Ghost Pine (NEP1),82,11,2015,4,2,11,2
Halkirk Wind Power Facility (HAL1),150,15,2015,4,2,11,2
Kettles Hill (KHW1),63,0,2015,4,2,11,2
McBride Lake Windfarm (AKE1),73,0,2015,4,2,11,2
Oldman 2 Wind Farm 1 (OWF1),46,0,2015,4,2,11,2
Soderglen Wind  (GWW1),71,0,2015,4,2,11,2
Summerview 1 (IEW1),66,0,2015,4,2,11,2
Summerview 2 (IEW2),66,0,2015,4,2,11,2
Suncor Chin Chute (SCR3),30,2,2015,4,2,11,2
Suncor Magrath (SCR2),30,1,2015,4,2,11,2
Suncor Wintering Hills (SCR4),88,87,2015,4,2,11,2
Ardenville Wind (ARD1),68,0,2015,4,2,11,3
Blackspring Ridge (BSR1),300,20,2015,4,2,11,3
Blue Trail Wind (BTR1),66,3,2015,4,2,11,3
Castle River #1 (CR1),39,0,2015,4,2,11,3
Castle Rock Wind Farm (CRR1),77,0,2015,4,2,11,3
Cowley Ridge (CRW1),38,0,2015,4,2,11,3
Enmax Taber (TAB1),81,3,2015,4,2,11,3
Ghost Pine (NEP1),82,13,2015,4,2,11,3
Halkirk Wind Power Facility (HAL1),150,16,2015,4,2,11,3
Kettles Hill (KHW1),63,0,2015,4,2,11,3
McBride Lake Windfarm (AKE1),73,0,2015,4,2,11,3
Oldman 2 Wind Farm 1 (OWF1),46,0,2015,4,2,11,3
Soderglen Wind  (GWW1),71,0,2015,4,2,11,3
Summerview 1 (IEW1),66,0,2015,4,2,11,3
Summerview 2 (IEW2),66,0,2015,4,2,11,3
Suncor Chin Chute (SCR3),30,2,2015,4,2,11,3
Suncor Magrath (SCR2),30,1,2015,4,2,11,3
Suncor Wintering Hills (SCR4),88,87,2015,4,2,11,3
Ardenville Wind (ARD1),68,0,2015,4,2,11,4
Blackspring Ridge (BSR1),300,19,2015,4,2,11,4
Blue Trail Wind (BTR1),66,4,2015,4,2,11,4
Castle River #1 (CR1),39,0,2015,4,2,11,4
Castle Rock Wind Farm (CRR1),77,0,2015,4,2,11,4
Cowley Ridge (CRW1),38,0,2015,4,2,11,4
Enmax Taber (TAB1),81,3,2015,4,2,11,4
Ghost Pine (NEP1),82,13,2015,4,2,11,4
Halkirk Wind Power Facility (HAL1),150,17,2015,4,2,11,4
Kettles Hill (KHW1),63,0,2015,4,2,11,4
