Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Ardenville Wind (ARD1),68,45,2015,4,4,0,0
Blackspring Ridge (BSR1),300,44,2015,4,4,0,0
Blue Trail Wind (BTR1),66,18,2015,4,4,0,0
Castle River #1 (CR1),39,5,2015,4,4,0,0
Castle Rock Wind Farm (CRR1),77,4,2015,4,4,0,0
Cowley Ridge (CRW1),38,1,2015,4,4,0,0
Enmax Taber (TAB1),81,40,2015,4,4,0,0
Ghost Pine (NEP1),82,12,2015,4,4,0,0
Halkirk Wind Power Facility (HAL1),150,58,2015,4,4,0,0
Kettles Hill (KHW1),63,20,2015,4,4,0,0
McBride Lake Windfarm (AKE1),73,13,2015,4,4,0,0
Oldman 2 Wind Farm 1 (OWF1),46,4,2015,4,4,0,0
Soderglen Wind  (GWW1),71,49,2015,4,4,0,0
Summerview 1 (IEW1),66,35,2015,4,4,0,0
Summerview 2 (IEW2),66,31,2015,4,4,0,0
Suncor Chin Chute (SCR3),30,18,2015,4,4,0,0
Suncor Magrath (SCR2),30,13,2015,4,4,0,0
Suncor Wintering Hills (SCR4),88,60,2015,4,4,0,0
Ardenville Wind (ARD1),68,45,2015,4,4,0,1
Blackspring Ridge (BSR1),300,43,2015,4,4,0,1
Blue Trail Wind (BTR1),66,17,2015,4,4,0,1
Castle River #1 (CR1),39,5,2015,4,4,0,1
Castle Rock Wind Farm (CRR1),77,4,2015,4,4,0,1
Cowley Ridge (CRW1),38,1,2015,4,4,0,1
Enmax Taber (TAB1),81,38,2015,4,4,0,1
Ghost Pine (NEP1),82,12,2015,4,4,0,1
Halkirk Wind Power Facility (HAL1),150,57,2015,4,4,0,1
Kettles Hill (KHW1),63,20,2015,4,4,0,1
McBride Lake Windfarm (AKE1),73,13,2015,4,4,0,1
Oldman 2 Wind Farm 1 (OWF1),46,4,2015,4,4,0,1
Soderglen Wind  (GWW1),71,49,2015,4,4,0,1
Summerview 1 (IEW1),66,35,2015,4,4,0,1
Summerview 2 (IEW2),66,31,2015,4,4,0,1
Suncor Chin Chute (SCR3),30,19,2015,4,4,0,1
Suncor Magrath (SCR2),30,13,2015,4,4,0,1
Suncor Wintering Hills (SCR4),88,60,2015,4,4,0,1
Ardenville Wind (ARD1),68,45,2015,4,4,0,2
Blackspring Ridge (BSR1),300,43,2015,4,4,0,2
Blue Trail Wind (BTR1),66,16,2015,4,4,0,2
Castle River #1 (CR1),39,5,2015,4,4,0,2
Castle Rock Wind Farm (CRR1),77,4,2015,4,4,0,2
Cowley Ridge (CRW1),38,1,2015,4,4,0,2
Enmax Taber (TAB1),81,38,2015,4,4,0,2
Ghost Pine (NEP1),82,13,2015,4,4,0,2
Halkirk Wind Power Facility (HAL1),150,57,2015,4,4,0,2
Kettles Hill (KHW1),63,19,2015,4,4,0,2
McBride Lake Windfarm (AKE1),73,13,2015,4,4,0,2
Oldman 2 Wind Farm 1 (OWF1),46,4,2015,4,4,0,2
Soderglen Wind  (GWW1),71,50,2015,4,4,0,2
Summerview 1 (IEW1),66,34,2015,4,4,0,2
Summerview 2 (IEW2),66,30,2015,4,4,0,2
Suncor Chin Chute (SCR3),30,20,2015,4,4,0,2
Suncor Magrath (SCR2),30,13,2015,4,4,0,2
Suncor Wintering Hills (SCR4),88,60,2015,4,4,0,2
Ardenville Wind (ARD1),68,46,2015,4,4,0,3
Blackspring Ridge (BSR1),300,42,2015,4,4,0,3
Blue Trail Wind (BTR1),66,16,2015,4,4,0,3
Castle River #1 (CR1),39,5,2015,4,4,0,3
Castle Rock Wind Farm (CRR1),77,4,2015,4,4,0,3
Cowley Ridge (CRW1),38,1,2015,4,4,0,3
Enmax Taber (TAB1),81,40,2015,4,4,0,3
Ghost Pine (NEP1),82,13,2015,4,4,0,3
Halkirk Wind Power Facility (HAL1),150,58,2015,4,4,0,3
Kettles Hill (KHW1),63,19,2015,4,4,0,3
McBride Lake Windfarm (AKE1),73,14,2015,4,4,0,3
Oldman 2 Wind Farm 1 (OWF1),46,4,2015,4,4,0,3
Soderglen Wind  (GWW1),71,50,2015,4,4,0,3
Summerview 1 (IEW1),66,33,2015,4,4,0,3
Summerview 2 (IEW2),66,31,2015,4,4,0,3
Suncor Chin Chute (SCR3),30,20,2015,4,4,0,3
Suncor Magrath (SCR2),30,12,2015,4,4,0,3
Suncor Wintering Hills (SCR4),88,58,2015,4,4,0,3
Ardenville Wind (ARD1),68,46,2015,4,4,0,4
Blackspring Ridge (BSR1),300,42,2015,4,4,0,4
Blue Trail Wind (BTR1),66,15,2015,4,4,0,4
Castle River #1 (CR1),39,5,2015,4,4,0,4
Castle Rock Wind Farm (CRR1),77,4,2015,4,4,0,4
Cowley Ridge (CRW1),38,1,2015,4,4,0,4
Enmax Taber (TAB1),81,40,2015,4,4,0,4
Ghost Pine (NEP1),82,13,2015,4,4,0,4
Halkirk Wind Power Facility (HAL1),150,57,2015,4,4,0,4
Kettles Hill (KHW1),63,18,2015,4,4,0,4
McBride Lake Windfarm (AKE1),73,13,2015,4,4,0,4
Oldman 2 Wind Farm 1 (OWF1),46,4,2015,4,4,0,4
Soderglen Wind  (GWW1),71,49,2015,4,4,0,4
Summerview 1 (IEW1),66,33,2015,4,4,0,4
Summerview 2 (IEW2),66,31,2015,4,4,0,4
Suncor Chin Chute (SCR3),30,20,2015,4,4,0,4
Suncor Magrath (SCR2),30,12,2015,4,4,0,4
Suncor Wintering Hills (SCR4),88,59,2015,4,4,0,4
Ardenville Wind (ARD1),68,45,2015,4,4,0,5
Blackspring Ridge (BSR1),300,42,2015,4,4,0,5
Blue Trail Wind (BTR1),66,15,2015,4,4,0,5
Castle River #1 (CR1),39,5,2015,4,4,0,5
Castle Rock Wind Farm (CRR1),77,4,2015,4,4,0,5
Cowley Ridge (CRW1),38,1,2015,4,4,0,5
Enmax Taber (TAB1),81,39,2015,4,4,0,5
Ghost Pine (NEP1),82,13,2015,4,4,0,5
Halkirk Wind Power Facility (HAL1),150,56,2015,4,4,0,5
Kettles Hill (KHW1),63,18,2015,4,4,0,5
McBride Lake Windfarm (AKE1),73,13,2015,4,4,0,5
Oldman 2 Wind Farm 1 (OWF1),46,4,2015,4,4,0,5
Soderglen Wind  (GWW1),71,48,2015,4,4,0,5
Summerview 1 (IEW1),66,32,2015,4,4,0,5
Summerview 2 (IEW2),66,31,2015,4,4,0,5
Suncor Chin Chute (SCR3),30,20,2015,4,4,0,5
Suncor Magrath (SCR2),30,12,2015,4,4,0,5
Suncor Wintering Hills (SCR4),88,59,2015,4,4,0,5
Ardenville Wind (ARD1),68,47,2015,4,4,0,6
Blackspring Ridge (BSR1),300,43,2015,4,4,0,6
Blue Trail Wind (BTR1),66,15,2015,4,4,0,6
Castle River #1 (CR1),39,5,2015,4,4,0,6
Castle Rock Wind Farm (CRR1),77,4,2015,4,4,0,6
Cowley Ridge (CRW1),38,1,2015,4,4,0,6
Enmax Taber (TAB1),81,39,2015,4,4,0,6
Ghost Pine (NEP1),82,13,2015,4,4,0,6
Halkirk Wind Power Facility (HAL1),150,56,2015,4,4,0,6
Kettles Hill (KHW1),63,18,2015,4,4,0,6
McBride Lake Windfarm (AKE1),73,13,2015,4,4,0,6
Oldman 2 Wind Farm 1 (OWF1),46,4,2015,4,4,0,6
Soderglen Wind  (GWW1),71,49,2015,4,4,0,6
Summerview 1 (IEW1),66,32,2015,4,4,0,6
Summerview 2 (IEW2),66,32,2015,4,4,0,6
Suncor Chin Chute (SCR3),30,19,2015,4,4,0,6
Suncor Magrath (SCR2),30,12,2015,4,4,0,6
Suncor Wintering Hills (SCR4),88,60,2015,4,4,0,6
Ardenville Wind (ARD1),68,46,2015,4,4,0,7
Blackspring Ridge (BSR1),300,41,2015,4,4,0,7
Blue Trail Wind (BTR1),66,16,2015,4,4,0,7
Castle River #1 (CR1),39,5,2015,4,4,0,7
Castle Rock Wind Farm (CRR1),77,4,2015,4,4,0,7
Cowley Ridge (CRW1),38,1,2015,4,4,0,7
Enmax Taber (TAB1),81,40,2015,4,4,0,7
Ghost Pine (NEP1),82,13,2015,4,4,0,7
Halkirk Wind Power Facility (HAL1),150,56,2015,4,4,0,7
Kettles Hill (KHW1),63,17,2015,4,4,0,7
McBride Lake Windfarm (AKE1),73,13,2015,4,4,0,7
Oldman 2 Wind Farm 1 (OWF1),46,4,2015,4,4,0,7
Soderglen Wind  (GWW1),71,48,2015,4,4,0,7
Summerview 1 (IEW1),66,31,2015,4,4,0,7
Summerview 2 (IEW2),66,31,2015,4,4,0,7
Suncor Chin Chute (SCR3),30,20,2015,4,4,0,7
Suncor Magrath (SCR2),30,12,2015,4,4,0,7
Suncor Wintering Hills (SCR4),88,60,2015,4,4,0,7
Ardenville Wind (ARD1),68,46,2015,4,4,0,8
Blackspring Ridge (BSR1),300,42,2015,4,4,0,8
Blue Trail Wind (BTR1),66,15,2015,4,4,0,8
Castle River #1 (CR1),39,5,2015,4,4,0,8
Castle Rock Wind Farm (CRR1),77,4,2015,4,4,0,8
Cowley Ridge (CRW1),38,1,2015,4,4,0,8
Enmax Taber (TAB1),81,40,2015,4,4,0,8
Ghost Pine (NEP1),82,13,2015,4,4,0,8
Halkirk Wind Power Facility (HAL1),150,57,2015,4,4,0,8
Kettles Hill (KHW1),63,16,2015,4,4,0,8
McBride Lake Windfarm (AKE1),73,14,2015,4,4,0,8
Oldman 2 Wind Farm 1 (OWF1),46,4,2015,4,4,0,8
Soderglen Wind  (GWW1),71,47,2015,4,4,0,8
Summerview 1 (IEW1),66,32,2015,4,4,0,8
Summerview 2 (IEW2),66,31,2015,4,4,0,8
Suncor Chin Chute (SCR3),30,20,2015,4,4,0,8
Suncor Magrath (SCR2),30,11,2015,4,4,0,8
Suncor Wintering Hills (SCR4),88,59,2015,4,4,0,8
Ardenville Wind (ARD1),68,46,2015,4,4,0,9
Blackspring Ridge (BSR1),300,40,2015,4,4,0,9
Blue Trail Wind (BTR1),66,15,2015,4,4,0,9
Castle River #1 (CR1),39,5,2015,4,4,0,9
Castle Rock Wind Farm (CRR1),77,4,2015,4,4,0,9
Cowley Ridge (CRW1),38,1,2015,4,4,0,9
Enmax Taber (TAB1),81,41,2015,4,4,0,9
Ghost Pine (NEP1),82,13,2015,4,4,0,9
Halkirk Wind Power Facility (HAL1),150,57,2015,4,4,0,9
Kettles Hill (KHW1),63,15,2015,4,4,0,9
McBride Lake Windfarm (AKE1),73,14,2015,4,4,0,9
Oldman 2 Wind Farm 1 (OWF1),46,3,2015,4,4,0,9
Soderglen Wind  (GWW1),71,47,2015,4,4,0,9
Summerview 1 (IEW1),66,31,2015,4,4,0,9
Summerview 2 (IEW2),66,30,2015,4,4,0,9
Suncor Chin Chute (SCR3),30,20,2015,4,4,0,9
Suncor Magrath (SCR2),30,11,2015,4,4,0,9
Suncor Wintering Hills (SCR4),88,59,2015,4,4,0,9
Ardenville Wind (ARD1),68,46,2015,4,4,0,10
Blackspring Ridge (BSR1),300,40,2015,4,4,0,10
Blue Trail Wind (BTR1),66,15,2015,4,4,0,10
Castle River #1 (CR1),39,5,2015,4,4,0,10
Castle Rock Wind Farm (CRR1),77,5,2015,4,4,0,10
Cowley Ridge (CRW1),38,1,2015,4,4,0,10
Enmax Taber (TAB1),81,41,2015,4,4,0,10
Ghost Pine (NEP1),82,13,2015,4,4,0,10
Halkirk Wind Power Facility (HAL1),150,57,2015,4,4,0,10
Kettles Hill (KHW1),63,15,2015,4,4,0,10
McBride Lake Windfarm (AKE1),73,15,2015,4,4,0,10
Oldman 2 Wind Farm 1 (OWF1),46,3,2015,4,4,0,10
Soderglen Wind  (GWW1),71,47,2015,4,4,0,10
Summerview 1 (IEW1),66,32,2015,4,4,0,10
Summerview 2 (IEW2),66,31,2015,4,4,0,10
