Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Ardenville Wind (ARD1),68,39,2015,4,12,10,0
Blackspring Ridge (BSR1),300,227,2015,4,12,10,0
Blue Trail Wind (BTR1),66,38,2015,4,12,10,0
Castle River #1 (CR1),39,38,2015,4,12,10,0
Castle Rock Wind Farm (CRR1),77,75,2015,4,12,10,0
Cowley Ridge (CRW1),38,28,2015,4,12,10,0
Enmax Taber (TAB1),81,77,2015,4,12,10,0
Ghost Pine (NEP1),82,13,2015,4,12,10,0
Halkirk Wind Power Facility (HAL1),150,36,2015,4,12,10,0
Kettles Hill (KHW1),63,46,2015,4,12,10,0
McBride Lake Windfarm (AKE1),73,71,2015,4,12,10,0
Oldman 2 Wind Farm 1 (OWF1),46,44,2015,4,12,10,0
Soderglen Wind  (GWW1),71,67,2015,4,12,10,0
Summerview 1 (IEW1),66,51,2015,4,12,10,0
Summerview 2 (IEW2),66,61,2015,4,12,10,0
Suncor Chin Chute (SCR3),30,27,2015,4,12,10,0
Suncor Magrath (SCR2),30,30,2015,4,12,10,0
Suncor Wintering Hills (SCR4),88,51,2015,4,12,10,0
Ardenville Wind (ARD1),68,39,2015,4,12,10,1
Blackspring Ridge (BSR1),300,228,2015,4,12,10,1
Blue Trail Wind (BTR1),66,38,2015,4,12,10,1
Castle River #1 (CR1),39,37,2015,4,12,10,1
Castle Rock Wind Farm (CRR1),77,76,2015,4,12,10,1
Cowley Ridge (CRW1),38,28,2015,4,12,10,1
Enmax Taber (TAB1),81,78,2015,4,12,10,1
Ghost Pine (NEP1),82,13,2015,4,12,10,1
Halkirk Wind Power Facility (HAL1),150,39,2015,4,12,10,1
Kettles Hill (KHW1),63,46,2015,4,12,10,1
McBride Lake Windfarm (AKE1),73,71,2015,4,12,10,1
Oldman 2 Wind Farm 1 (OWF1),46,44,2015,4,12,10,1
Soderglen Wind  (GWW1),71,68,2015,4,12,10,1
Summerview 1 (IEW1),66,52,2015,4,12,10,1
Summerview 2 (IEW2),66,61,2015,4,12,10,1
Suncor Chin Chute (SCR3),30,28,2015,4,12,10,1
Suncor Magrath (SCR2),30,30,2015,4,12,10,1
Suncor Wintering Hills (SCR4),88,50,2015,4,12,10,1
Ardenville Wind (ARD1),68,39,2015,4,12,10,2
Blackspring Ridge (BSR1),300,225,2015,4,12,10,2
Blue Trail Wind (BTR1),66,38,2015,4,12,10,2
Castle River #1 (CR1),39,38,2015,4,12,10,2
Castle Rock Wind Farm (CRR1),77,76,2015,4,12,10,2
Cowley Ridge (CRW1),38,28,2015,4,12,10,2
Enmax Taber (TAB1),81,77,2015,4,12,10,2
Ghost Pine (NEP1),82,12,2015,4,12,10,2
Halkirk Wind Power Facility (HAL1),150,40,2015,4,12,10,2
Kettles Hill (KHW1),63,46,2015,4,12,10,2
McBride Lake Windfarm (AKE1),73,71,2015,4,12,10,2
Oldman 2 Wind Farm 1 (OWF1),46,44,2015,4,12,10,2
Soderglen Wind  (GWW1),71,67,2015,4,12,10,2
