Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Ardenville Wind (ARD1),68,21,2015,4,29,9,0
Blackspring Ridge (BSR1),300,269,2015,4,29,9,0
Blue Trail Wind (BTR1),66,2,2015,4,29,9,0
Castle River #1 (CR1),39,9,2015,4,29,9,0
Castle Rock Wind Farm (CRR1),77,40,2015,4,29,9,0
Cowley Ridge (CRW1),38,12,2015,4,29,9,0
Enmax Taber (TAB1),81,56,2015,4,29,9,0
Ghost Pine (NEP1),82,63,2015,4,29,9,0
Halkirk Wind Power Facility (HAL1),150,130,2015,4,29,9,0
Kettles Hill (KHW1),63,47,2015,4,29,9,0
McBride Lake Windfarm (AKE1),73,9,2015,4,29,9,0
Oldman 2 Wind Farm 1 (OWF1),46,23,2015,4,29,9,0
Soderglen Wind  (GWW1),71,34,2015,4,29,9,0
Summerview 1 (IEW1),66,9,2015,4,29,9,0
Summerview 2 (IEW2),66,8,2015,4,29,9,0
Suncor Chin Chute (SCR3),30,29,2015,4,29,9,0
Suncor Magrath (SCR2),30,29,2015,4,29,9,0
Suncor Wintering Hills (SCR4),88,66,2015,4,29,9,0
Ardenville Wind (ARD1),68,20,2015,4,29,9,1
Blackspring Ridge (BSR1),300,273,2015,4,29,9,1
Blue Trail Wind (BTR1),66,2,2015,4,29,9,1
Castle River #1 (CR1),39,10,2015,4,29,9,1
Castle Rock Wind Farm (CRR1),77,44,2015,4,29,9,1
Cowley Ridge (CRW1),38,12,2015,4,29,9,1
Enmax Taber (TAB1),81,54,2015,4,29,9,1
Ghost Pine (NEP1),82,61,2015,4,29,9,1
Halkirk Wind Power Facility (HAL1),150,132,2015,4,29,9,1
Kettles Hill (KHW1),63,45,2015,4,29,9,1
McBride Lake Windfarm (AKE1),73,9,2015,4,29,9,1
Oldman 2 Wind Farm 1 (OWF1),46,27,2015,4,29,9,1
Soderglen Wind  (GWW1),71,31,2015,4,29,9,1
Summerview 1 (IEW1),66,10,2015,4,29,9,1
Summerview 2 (IEW2),66,10,2015,4,29,9,1
Suncor Chin Chute (SCR3),30,28,2015,4,29,9,1
Suncor Magrath (SCR2),30,29,2015,4,29,9,1
Suncor Wintering Hills (SCR4),88,66,2015,4,29,9,1
Ardenville Wind (ARD1),68,16,2015,4,29,9,2
Blackspring Ridge (BSR1),300,275,2015,4,29,9,2
Blue Trail Wind (BTR1),66,2,2015,4,29,9,2
Castle River #1 (CR1),39,10,2015,4,29,9,2
Castle Rock Wind Farm (CRR1),77,40,2015,4,29,9,2
Cowley Ridge (CRW1),38,12,2015,4,29,9,2
Enmax Taber (TAB1),81,54,2015,4,29,9,2
Ghost Pine (NEP1),82,59,2015,4,29,9,2
Halkirk Wind Power Facility (HAL1),150,130,2015,4,29,9,2
Kettles Hill (KHW1),63,43,2015,4,29,9,2
McBride Lake Windfarm (AKE1),73,11,2015,4,29,9,2
Oldman 2 Wind Farm 1 (OWF1),46,26,2015,4,29,9,2
Soderglen Wind  (GWW1),71,30,2015,4,29,9,2
Summerview 1 (IEW1),66,9,2015,4,29,9,2
Summerview 2 (IEW2),66,8,2015,4,29,9,2
Suncor Chin Chute (SCR3),30,29,2015,4,29,9,2
Suncor Magrath (SCR2),30,29,2015,4,29,9,2
Suncor Wintering Hills (SCR4),88,66,2015,4,29,9,2
Ardenville Wind (ARD1),68,16,2015,4,29,9,3
Blackspring Ridge (BSR1),300,269,2015,4,29,9,3
Blue Trail Wind (BTR1),66,2,2015,4,29,9,3
Castle River #1 (CR1),39,10,2015,4,29,9,3
Castle Rock Wind Farm (CRR1),77,39,2015,4,29,9,3
Cowley Ridge (CRW1),38,12,2015,4,29,9,3
Enmax Taber (TAB1),81,53,2015,4,29,9,3
Ghost Pine (NEP1),82,60,2015,4,29,9,3
Halkirk Wind Power Facility (HAL1),150,129,2015,4,29,9,3
Kettles Hill (KHW1),63,41,2015,4,29,9,3
McBride Lake Windfarm (AKE1),73,12,2015,4,29,9,3
Oldman 2 Wind Farm 1 (OWF1),46,28,2015,4,29,9,3
Soderglen Wind  (GWW1),71,28,2015,4,29,9,3
Summerview 1 (IEW1),66,10,2015,4,29,9,3
Summerview 2 (IEW2),66,6,2015,4,29,9,3
Suncor Chin Chute (SCR3),30,29,2015,4,29,9,3
Suncor Magrath (SCR2),30,29,2015,4,29,9,3
Suncor Wintering Hills (SCR4),88,63,2015,4,29,9,3
Ardenville Wind (ARD1),68,18,2015,4,29,9,4
Blackspring Ridge (BSR1),300,270,2015,4,29,9,4
Blue Trail Wind (BTR1),66,3,2015,4,29,9,4
Castle River #1 (CR1),39,8,2015,4,29,9,4
Castle Rock Wind Farm (CRR1),77,42,2015,4,29,9,4
Cowley Ridge (CRW1),38,13,2015,4,29,9,4
Enmax Taber (TAB1),81,52,2015,4,29,9,4
Ghost Pine (NEP1),82,57,2015,4,29,9,4
Halkirk Wind Power Facility (HAL1),150,127,2015,4,29,9,4
Kettles Hill (KHW1),63,41,2015,4,29,9,4
McBride Lake Windfarm (AKE1),73,12,2015,4,29,9,4
Oldman 2 Wind Farm 1 (OWF1),46,30,2015,4,29,9,4
Soderglen Wind  (GWW1),71,25,2015,4,29,9,4
Summerview 1 (IEW1),66,8,2015,4,29,9,4
Summerview 2 (IEW2),66,6,2015,4,29,9,4
Suncor Chin Chute (SCR3),30,29,2015,4,29,9,4
Suncor Magrath (SCR2),30,28,2015,4,29,9,4
Suncor Wintering Hills (SCR4),88,63,2015,4,29,9,4
Ardenville Wind (ARD1),68,15,2015,4,29,9,5
Blackspring Ridge (BSR1),300,267,2015,4,29,9,5
Blue Trail Wind (BTR1),66,2,2015,4,29,9,5
Castle River #1 (CR1),39,8,2015,4,29,9,5
Castle Rock Wind Farm (CRR1),77,41,2015,4,29,9,5
Cowley Ridge (CRW1),38,11,2015,4,29,9,5
Enmax Taber (TAB1),81,53,2015,4,29,9,5
Ghost Pine (NEP1),82,57,2015,4,29,9,5
Halkirk Wind Power Facility (HAL1),150,131,2015,4,29,9,5
Kettles Hill (KHW1),63,40,2015,4,29,9,5
McBride Lake Windfarm (AKE1),73,11,2015,4,29,9,5
Oldman 2 Wind Farm 1 (OWF1),46,32,2015,4,29,9,5
Soderglen Wind  (GWW1),71,24,2015,4,29,9,5
Summerview 1 (IEW1),66,10,2015,4,29,9,5
Summerview 2 (IEW2),66,5,2015,4,29,9,5
Suncor Chin Chute (SCR3),30,29,2015,4,29,9,5
Suncor Magrath (SCR2),30,29,2015,4,29,9,5
Suncor Wintering Hills (SCR4),88,62,2015,4,29,9,5
Ardenville Wind (ARD1),68,15,2015,4,29,9,6
Blackspring Ridge (BSR1),300,270,2015,4,29,9,6
Blue Trail Wind (BTR1),66,3,2015,4,29,9,6
Castle River #1 (CR1),39,8,2015,4,29,9,6
Castle Rock Wind Farm (CRR1),77,40,2015,4,29,9,6
Cowley Ridge (CRW1),38,12,2015,4,29,9,6
Enmax Taber (TAB1),81,52,2015,4,29,9,6
Ghost Pine (NEP1),82,57,2015,4,29,9,6
Halkirk Wind Power Facility (HAL1),150,131,2015,4,29,9,6
Kettles Hill (KHW1),63,40,2015,4,29,9,6
McBride Lake Windfarm (AKE1),73,10,2015,4,29,9,6
Oldman 2 Wind Farm 1 (OWF1),46,34,2015,4,29,9,6
Soderglen Wind  (GWW1),71,24,2015,4,29,9,6
Summerview 1 (IEW1),66,11,2015,4,29,9,6
Summerview 2 (IEW2),66,6,2015,4,29,9,6
Suncor Chin Chute (SCR3),30,28,2015,4,29,9,6
Suncor Magrath (SCR2),30,28,2015,4,29,9,6
Suncor Wintering Hills (SCR4),88,62,2015,4,29,9,6
Ardenville Wind (ARD1),68,15,2015,4,29,9,7
Blackspring Ridge (BSR1),300,269,2015,4,29,9,7
Blue Trail Wind (BTR1),66,3,2015,4,29,9,7
Castle River #1 (CR1),39,8,2015,4,29,9,7
Castle Rock Wind Farm (CRR1),77,43,2015,4,29,9,7
Cowley Ridge (CRW1),38,11,2015,4,29,9,7
Enmax Taber (TAB1),81,51,2015,4,29,9,7
Ghost Pine (NEP1),82,60,2015,4,29,9,7
Halkirk Wind Power Facility (HAL1),150,134,2015,4,29,9,7
Kettles Hill (KHW1),63,39,2015,4,29,9,7
McBride Lake Windfarm (AKE1),73,10,2015,4,29,9,7
Oldman 2 Wind Farm 1 (OWF1),46,33,2015,4,29,9,7
Soderglen Wind  (GWW1),71,22,2015,4,29,9,7
Summerview 1 (IEW1),66,11,2015,4,29,9,7
Summerview 2 (IEW2),66,5,2015,4,29,9,7
Suncor Chin Chute (SCR3),30,29,2015,4,29,9,7
Suncor Magrath (SCR2),30,28,2015,4,29,9,7
Suncor Wintering Hills (SCR4),88,61,2015,4,29,9,7
Ardenville Wind (ARD1),68,11,2015,4,29,9,8
Blackspring Ridge (BSR1),300,261,2015,4,29,9,8
Blue Trail Wind (BTR1),66,2,2015,4,29,9,8
Castle River #1 (CR1),39,8,2015,4,29,9,8
Castle Rock Wind Farm (CRR1),77,41,2015,4,29,9,8
Cowley Ridge (CRW1),38,10,2015,4,29,9,8
Enmax Taber (TAB1),81,50,2015,4,29,9,8
Ghost Pine (NEP1),82,60,2015,4,29,9,8
Halkirk Wind Power Facility (HAL1),150,132,2015,4,29,9,8
Kettles Hill (KHW1),63,38,2015,4,29,9,8
McBride Lake Windfarm (AKE1),73,11,2015,4,29,9,8
Oldman 2 Wind Farm 1 (OWF1),46,33,2015,4,29,9,8
Soderglen Wind  (GWW1),71,22,2015,4,29,9,8
Summerview 1 (IEW1),66,10,2015,4,29,9,8
Summerview 2 (IEW2),66,6,2015,4,29,9,8
Suncor Chin Chute (SCR3),30,28,2015,4,29,9,8
Suncor Magrath (SCR2),30,28,2015,4,29,9,8
Suncor Wintering Hills (SCR4),88,62,2015,4,29,9,8
Ardenville Wind (ARD1),68,11,2015,4,29,9,9
Blackspring Ridge (BSR1),300,266,2015,4,29,9,9
Blue Trail Wind (BTR1),66,1,2015,4,29,9,9
Castle River #1 (CR1),39,6,2015,4,29,9,9
