Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Ardenville Wind (ARD1),68,0,2015,4,6,2,0
Blackspring Ridge (BSR1),300,34,2015,4,6,2,0
Blue Trail Wind (BTR1),66,0,2015,4,6,2,0
Castle River #1 (CR1),39,1,2015,4,6,2,0
Castle Rock Wind Farm (CRR1),77,8,2015,4,6,2,0
Cowley Ridge (CRW1),38,1,2015,4,6,2,0
Enmax Taber (TAB1),81,8,2015,4,6,2,0
Ghost Pine (NEP1),82,44,2015,4,6,2,0
Halkirk Wind Power Facility (HAL1),150,121,2015,4,6,2,0
Kettles Hill (KHW1),63,5,2015,4,6,2,0
McBride Lake Windfarm (AKE1),73,0,2015,4,6,2,0
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,6,2,0
Soderglen Wind  (GWW1),71,1,2015,4,6,2,0
Summerview 1 (IEW1),66,0,2015,4,6,2,0
Summerview 2 (IEW2),66,2,2015,4,6,2,0
Suncor Chin Chute (SCR3),30,3,2015,4,6,2,0
Suncor Magrath (SCR2),30,1,2015,4,6,2,0
Suncor Wintering Hills (SCR4),88,50,2015,4,6,2,0
Ardenville Wind (ARD1),68,0,2015,4,6,2,1
Blackspring Ridge (BSR1),300,33,2015,4,6,2,1
Blue Trail Wind (BTR1),66,0,2015,4,6,2,1
Castle River #1 (CR1),39,0,2015,4,6,2,1
Castle Rock Wind Farm (CRR1),77,8,2015,4,6,2,1
Cowley Ridge (CRW1),38,1,2015,4,6,2,1
Enmax Taber (TAB1),81,8,2015,4,6,2,1
Ghost Pine (NEP1),82,46,2015,4,6,2,1
Halkirk Wind Power Facility (HAL1),150,121,2015,4,6,2,1
Kettles Hill (KHW1),63,5,2015,4,6,2,1
McBride Lake Windfarm (AKE1),73,0,2015,4,6,2,1
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,6,2,1
Soderglen Wind  (GWW1),71,1,2015,4,6,2,1
Summerview 1 (IEW1),66,0,2015,4,6,2,1
Summerview 2 (IEW2),66,2,2015,4,6,2,1
Suncor Chin Chute (SCR3),30,3,2015,4,6,2,1
Suncor Magrath (SCR2),30,1,2015,4,6,2,1
Suncor Wintering Hills (SCR4),88,49,2015,4,6,2,1
Ardenville Wind (ARD1),68,0,2015,4,6,2,2
Blackspring Ridge (BSR1),300,34,2015,4,6,2,2
Blue Trail Wind (BTR1),66,0,2015,4,6,2,2
Castle River #1 (CR1),39,0,2015,4,6,2,2
Castle Rock Wind Farm (CRR1),77,8,2015,4,6,2,2
Cowley Ridge (CRW1),38,1,2015,4,6,2,2
Enmax Taber (TAB1),81,8,2015,4,6,2,2
Ghost Pine (NEP1),82,47,2015,4,6,2,2
Halkirk Wind Power Facility (HAL1),150,121,2015,4,6,2,2
Kettles Hill (KHW1),63,5,2015,4,6,2,2
McBride Lake Windfarm (AKE1),73,0,2015,4,6,2,2
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,6,2,2
Soderglen Wind  (GWW1),71,1,2015,4,6,2,2
Summerview 1 (IEW1),66,0,2015,4,6,2,2
Summerview 2 (IEW2),66,2,2015,4,6,2,2
Suncor Chin Chute (SCR3),30,3,2015,4,6,2,2
Suncor Magrath (SCR2),30,1,2015,4,6,2,2
Suncor Wintering Hills (SCR4),88,49,2015,4,6,2,2
Ardenville Wind (ARD1),68,0,2015,4,6,2,3
Blackspring Ridge (BSR1),300,34,2015,4,6,2,3
Blue Trail Wind (BTR1),66,0,2015,4,6,2,3
Castle River #1 (CR1),39,0,2015,4,6,2,3
Castle Rock Wind Farm (CRR1),77,8,2015,4,6,2,3
Cowley Ridge (CRW1),38,1,2015,4,6,2,3
Enmax Taber (TAB1),81,8,2015,4,6,2,3
Ghost Pine (NEP1),82,48,2015,4,6,2,3
Halkirk Wind Power Facility (HAL1),150,122,2015,4,6,2,3
Kettles Hill (KHW1),63,6,2015,4,6,2,3
McBride Lake Windfarm (AKE1),73,0,2015,4,6,2,3
Oldman 2 Wind Farm 1 (OWF1),46,7,2015,4,6,2,3
Soderglen Wind  (GWW1),71,1,2015,4,6,2,3
Summerview 1 (IEW1),66,0,2015,4,6,2,3
Summerview 2 (IEW2),66,2,2015,4,6,2,3
Suncor Chin Chute (SCR3),30,3,2015,4,6,2,3
Suncor Magrath (SCR2),30,1,2015,4,6,2,3
Suncor Wintering Hills (SCR4),88,48,2015,4,6,2,3
Ardenville Wind (ARD1),68,0,2015,4,6,2,4
Blackspring Ridge (BSR1),300,35,2015,4,6,2,4
Blue Trail Wind (BTR1),66,0,2015,4,6,2,4
Castle River #1 (CR1),39,0,2015,4,6,2,4
Castle Rock Wind Farm (CRR1),77,9,2015,4,6,2,4
Cowley Ridge (CRW1),38,1,2015,4,6,2,4
