Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Ardenville Wind (ARD1),68,48,2015,4,23,19,0
Blackspring Ridge (BSR1),300,285,2015,4,23,19,0
Blue Trail Wind (BTR1),66,59,2015,4,23,19,0
Castle River #1 (CR1),39,25,2015,4,23,19,0
Castle Rock Wind Farm (CRR1),77,59,2015,4,23,19,0
Cowley Ridge (CRW1),38,21,2015,4,23,19,0
Enmax Taber (TAB1),81,11,2015,4,23,19,0
Ghost Pine (NEP1),82,2,2015,4,23,19,0
Halkirk Wind Power Facility (HAL1),150,5,2015,4,23,19,0
Kettles Hill (KHW1),63,56,2015,4,23,19,0
McBride Lake Windfarm (AKE1),73,64,2015,4,23,19,0
Oldman 2 Wind Farm 1 (OWF1),46,42,2015,4,23,19,0
Soderglen Wind  (GWW1),71,51,2015,4,23,19,0
Summerview 1 (IEW1),66,51,2015,4,23,19,0
Summerview 2 (IEW2),66,26,2015,4,23,19,0
Suncor Chin Chute (SCR3),30,4,2015,4,23,19,0
Suncor Magrath (SCR2),30,10,2015,4,23,19,0
Suncor Wintering Hills (SCR4),88,3,2015,4,23,19,0
Ardenville Wind (ARD1),68,45,2015,4,23,19,1
Blackspring Ridge (BSR1),300,283,2015,4,23,19,1
Blue Trail Wind (BTR1),66,57,2015,4,23,19,1
Castle River #1 (CR1),39,25,2015,4,23,19,1
Castle Rock Wind Farm (CRR1),77,59,2015,4,23,19,1
Cowley Ridge (CRW1),38,19,2015,4,23,19,1
Enmax Taber (TAB1),81,12,2015,4,23,19,1
Ghost Pine (NEP1),82,2,2015,4,23,19,1
Halkirk Wind Power Facility (HAL1),150,5,2015,4,23,19,1
Kettles Hill (KHW1),63,54,2015,4,23,19,1
McBride Lake Windfarm (AKE1),73,64,2015,4,23,19,1
Oldman 2 Wind Farm 1 (OWF1),46,42,2015,4,23,19,1
Soderglen Wind  (GWW1),71,53,2015,4,23,19,1
Summerview 1 (IEW1),66,52,2015,4,23,19,1
Summerview 2 (IEW2),66,26,2015,4,23,19,1
Suncor Chin Chute (SCR3),30,4,2015,4,23,19,1
Suncor Magrath (SCR2),30,10,2015,4,23,19,1
Suncor Wintering Hills (SCR4),88,3,2015,4,23,19,1
Ardenville Wind (ARD1),68,46,2015,4,23,19,2
Blackspring Ridge (BSR1),300,287,2015,4,23,19,2
Blue Trail Wind (BTR1),66,59,2015,4,23,19,2
Castle River #1 (CR1),39,25,2015,4,23,19,2
Castle Rock Wind Farm (CRR1),77,58,2015,4,23,19,2
Cowley Ridge (CRW1),38,20,2015,4,23,19,2
Enmax Taber (TAB1),81,12,2015,4,23,19,2
Ghost Pine (NEP1),82,2,2015,4,23,19,2
Halkirk Wind Power Facility (HAL1),150,6,2015,4,23,19,2
Kettles Hill (KHW1),63,54,2015,4,23,19,2
McBride Lake Windfarm (AKE1),73,63,2015,4,23,19,2
Oldman 2 Wind Farm 1 (OWF1),46,44,2015,4,23,19,2
Soderglen Wind  (GWW1),71,52,2015,4,23,19,2
Summerview 1 (IEW1),66,53,2015,4,23,19,2
Summerview 2 (IEW2),66,27,2015,4,23,19,2
Suncor Chin Chute (SCR3),30,5,2015,4,23,19,2
Suncor Magrath (SCR2),30,10,2015,4,23,19,2
Suncor Wintering Hills (SCR4),88,3,2015,4,23,19,2
Ardenville Wind (ARD1),68,46,2015,4,23,19,3
Blackspring Ridge (BSR1),300,286,2015,4,23,19,3
Blue Trail Wind (BTR1),66,59,2015,4,23,19,3
Castle River #1 (CR1),39,27,2015,4,23,19,3
Castle Rock Wind Farm (CRR1),77,59,2015,4,23,19,3
Cowley Ridge (CRW1),38,20,2015,4,23,19,3
Enmax Taber (TAB1),81,12,2015,4,23,19,3
Ghost Pine (NEP1),82,2,2015,4,23,19,3
Halkirk Wind Power Facility (HAL1),150,7,2015,4,23,19,3
Kettles Hill (KHW1),63,53,2015,4,23,19,3
McBride Lake Windfarm (AKE1),73,63,2015,4,23,19,3
Oldman 2 Wind Farm 1 (OWF1),46,42,2015,4,23,19,3
Soderglen Wind  (GWW1),71,54,2015,4,23,19,3
Summerview 1 (IEW1),66,52,2015,4,23,19,3
Summerview 2 (IEW2),66,27,2015,4,23,19,3
Suncor Chin Chute (SCR3),30,5,2015,4,23,19,3
Suncor Magrath (SCR2),30,11,2015,4,23,19,3
Suncor Wintering Hills (SCR4),88,2,2015,4,23,19,3
Ardenville Wind (ARD1),68,47,2015,4,23,19,4
Blackspring Ridge (BSR1),300,285,2015,4,23,19,4
Blue Trail Wind (BTR1),66,56,2015,4,23,19,4
Castle River #1 (CR1),39,29,2015,4,23,19,4
Castle Rock Wind Farm (CRR1),77,60,2015,4,23,19,4
Cowley Ridge (CRW1),38,22,2015,4,23,19,4
Enmax Taber (TAB1),81,12,2015,4,23,19,4
Ghost Pine (NEP1),82,2,2015,4,23,19,4
Halkirk Wind Power Facility (HAL1),150,8,2015,4,23,19,4
Kettles Hill (KHW1),63,51,2015,4,23,19,4
McBride Lake Windfarm (AKE1),73,63,2015,4,23,19,4
Oldman 2 Wind Farm 1 (OWF1),46,40,2015,4,23,19,4
Soderglen Wind  (GWW1),71,57,2015,4,23,19,4
Summerview 1 (IEW1),66,53,2015,4,23,19,4
Summerview 2 (IEW2),66,28,2015,4,23,19,4
Suncor Chin Chute (SCR3),30,5,2015,4,23,19,4
Suncor Magrath (SCR2),30,12,2015,4,23,19,4
Suncor Wintering Hills (SCR4),88,2,2015,4,23,19,4
Ardenville Wind (ARD1),68,49,2015,4,23,19,5
Blackspring Ridge (BSR1),300,285,2015,4,23,19,5
Blue Trail Wind (BTR1),66,60,2015,4,23,19,5
Castle River #1 (CR1),39,29,2015,4,23,19,5
Castle Rock Wind Farm (CRR1),77,60,2015,4,23,19,5
Cowley Ridge (CRW1),38,22,2015,4,23,19,5
Enmax Taber (TAB1),81,11,2015,4,23,19,5
Ghost Pine (NEP1),82,2,2015,4,23,19,5
Halkirk Wind Power Facility (HAL1),150,9,2015,4,23,19,5
Kettles Hill (KHW1),63,53,2015,4,23,19,5
McBride Lake Windfarm (AKE1),73,64,2015,4,23,19,5
Oldman 2 Wind Farm 1 (OWF1),46,40,2015,4,23,19,5
Soderglen Wind  (GWW1),71,55,2015,4,23,19,5
Summerview 1 (IEW1),66,54,2015,4,23,19,5
Summerview 2 (IEW2),66,26,2015,4,23,19,5
Suncor Chin Chute (SCR3),30,5,2015,4,23,19,5
