Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Ardenville Wind (ARD1),68,36,2015,4,22,7,0
Blackspring Ridge (BSR1),300,10,2015,4,22,7,0
Blue Trail Wind (BTR1),66,28,2015,4,22,7,0
Castle River #1 (CR1),39,0,2015,4,22,7,0
Castle Rock Wind Farm (CRR1),77,8,2015,4,22,7,0
Cowley Ridge (CRW1),38,1,2015,4,22,7,0
Enmax Taber (TAB1),81,61,2015,4,22,7,0
Ghost Pine (NEP1),82,43,2015,4,22,7,0
Halkirk Wind Power Facility (HAL1),150,127,2015,4,22,7,0
Kettles Hill (KHW1),63,9,2015,4,22,7,0
McBride Lake Windfarm (AKE1),73,21,2015,4,22,7,0
Oldman 2 Wind Farm 1 (OWF1),46,5,2015,4,22,7,0
Soderglen Wind  (GWW1),71,25,2015,4,22,7,0
Summerview 1 (IEW1),66,24,2015,4,22,7,0
Summerview 2 (IEW2),66,12,2015,4,22,7,0
Suncor Chin Chute (SCR3),30,2,2015,4,22,7,0
Suncor Magrath (SCR2),30,19,2015,4,22,7,0
Suncor Wintering Hills (SCR4),88,84,2015,4,22,7,0
Ardenville Wind (ARD1),68,36,2015,4,22,7,1
Blackspring Ridge (BSR1),300,10,2015,4,22,7,1
Blue Trail Wind (BTR1),66,28,2015,4,22,7,1
Castle River #1 (CR1),39,0,2015,4,22,7,1
Castle Rock Wind Farm (CRR1),77,9,2015,4,22,7,1
Cowley Ridge (CRW1),38,1,2015,4,22,7,1
Enmax Taber (TAB1),81,62,2015,4,22,7,1
Ghost Pine (NEP1),82,43,2015,4,22,7,1
Halkirk Wind Power Facility (HAL1),150,128,2015,4,22,7,1
Kettles Hill (KHW1),63,9,2015,4,22,7,1
McBride Lake Windfarm (AKE1),73,22,2015,4,22,7,1
Oldman 2 Wind Farm 1 (OWF1),46,5,2015,4,22,7,1
Soderglen Wind  (GWW1),71,26,2015,4,22,7,1
Summerview 1 (IEW1),66,24,2015,4,22,7,1
Summerview 2 (IEW2),66,14,2015,4,22,7,1
Suncor Chin Chute (SCR3),30,1,2015,4,22,7,1
Suncor Magrath (SCR2),30,19,2015,4,22,7,1
Suncor Wintering Hills (SCR4),88,85,2015,4,22,7,1
Ardenville Wind (ARD1),68,36,2015,4,22,7,2
Blackspring Ridge (BSR1),300,11,2015,4,22,7,2
Blue Trail Wind (BTR1),66,28,2015,4,22,7,2
Castle River #1 (CR1),39,0,2015,4,22,7,2
Castle Rock Wind Farm (CRR1),77,10,2015,4,22,7,2
Cowley Ridge (CRW1),38,1,2015,4,22,7,2
Enmax Taber (TAB1),81,61,2015,4,22,7,2
Ghost Pine (NEP1),82,44,2015,4,22,7,2
Halkirk Wind Power Facility (HAL1),150,127,2015,4,22,7,2
Kettles Hill (KHW1),63,9,2015,4,22,7,2
McBride Lake Windfarm (AKE1),73,23,2015,4,22,7,2
Oldman 2 Wind Farm 1 (OWF1),46,5,2015,4,22,7,2
Soderglen Wind  (GWW1),71,27,2015,4,22,7,2
Summerview 1 (IEW1),66,23,2015,4,22,7,2
Summerview 2 (IEW2),66,16,2015,4,22,7,2
Suncor Chin Chute (SCR3),30,1,2015,4,22,7,2
Suncor Magrath (SCR2),30,19,2015,4,22,7,2
Suncor Wintering Hills (SCR4),88,84,2015,4,22,7,2
Ardenville Wind (ARD1),68,36,2015,4,22,7,3
Blackspring Ridge (BSR1),300,11,2015,4,22,7,3
Blue Trail Wind (BTR1),66,29,2015,4,22,7,3
Castle River #1 (CR1),39,0,2015,4,22,7,3
Castle Rock Wind Farm (CRR1),77,10,2015,4,22,7,3
Cowley Ridge (CRW1),38,2,2015,4,22,7,3
Enmax Taber (TAB1),81,61,2015,4,22,7,3
Ghost Pine (NEP1),82,45,2015,4,22,7,3
Halkirk Wind Power Facility (HAL1),150,127,2015,4,22,7,3
Kettles Hill (KHW1),63,9,2015,4,22,7,3
McBride Lake Windfarm (AKE1),73,23,2015,4,22,7,3
Oldman 2 Wind Farm 1 (OWF1),46,5,2015,4,22,7,3
Soderglen Wind  (GWW1),71,27,2015,4,22,7,3
Summerview 1 (IEW1),66,23,2015,4,22,7,3
Summerview 2 (IEW2),66,15,2015,4,22,7,3
Suncor Chin Chute (SCR3),30,1,2015,4,22,7,3
