Asset,Maximum Capability,Total Net Generation,Year,Month,Day,Hour,Minute
Ardenville Wind (ARD1),68,0,2015,4,3,1,0
Blackspring Ridge (BSR1),300,58,2015,4,3,1,0
Blue Trail Wind (BTR1),66,0,2015,4,3,1,0
Castle River #1 (CR1),39,0,2015,4,3,1,0
Castle Rock Wind Farm (CRR1),77,0,2015,4,3,1,0
Cowley Ridge (CRW1),38,0,2015,4,3,1,0
Enmax Taber (TAB1),81,4,2015,4,3,1,0
Ghost Pine (NEP1),82,5,2015,4,3,1,0
Halkirk Wind Power Facility (HAL1),150,0,2015,4,3,1,0
Kettles Hill (KHW1),63,0,2015,4,3,1,0
McBride Lake Windfarm (AKE1),73,0,2015,4,3,1,0
Oldman 2 Wind Farm 1 (OWF1),46,0,2015,4,3,1,0
Soderglen Wind  (GWW1),71,0,2015,4,3,1,0
Summerview 1 (IEW1),66,0,2015,4,3,1,0
Summerview 2 (IEW2),66,0,2015,4,3,1,0
Suncor Chin Chute (SCR3),30,0,2015,4,3,1,0
Suncor Magrath (SCR2),30,0,2015,4,3,1,0
Suncor Wintering Hills (SCR4),88,13,2015,4,3,1,0
Ardenville Wind (ARD1),68,0,2015,4,3,1,1
Blackspring Ridge (BSR1),300,59,2015,4,3,1,1
Blue Trail Wind (BTR1),66,0,2015,4,3,1,1
Castle River #1 (CR1),39,0,2015,4,3,1,1
Castle Rock Wind Farm (CRR1),77,0,2015,4,3,1,1
Cowley Ridge (CRW1),38,0,2015,4,3,1,1
Enmax Taber (TAB1),81,5,2015,4,3,1,1
Ghost Pine (NEP1),82,6,2015,4,3,1,1
Halkirk Wind Power Facility (HAL1),150,0,2015,4,3,1,1
Kettles Hill (KHW1),63,0,2015,4,3,1,1
McBride Lake Windfarm (AKE1),73,0,2015,4,3,1,1
Oldman 2 Wind Farm 1 (OWF1),46,0,2015,4,3,1,1
Soderglen Wind  (GWW1),71,0,2015,4,3,1,1
Summerview 1 (IEW1),66,0,2015,4,3,1,1
Summerview 2 (IEW2),66,0,2015,4,3,1,1
Suncor Chin Chute (SCR3),30,0,2015,4,3,1,1
Suncor Magrath (SCR2),30,0,2015,4,3,1,1
Suncor Wintering Hills (SCR4),88,12,2015,4,3,1,1
Ardenville Wind (ARD1),68,0,2015,4,3,1,2
Blackspring Ridge (BSR1),300,62,2015,4,3,1,2
Blue Trail Wind (BTR1),66,0,2015,4,3,1,2
Castle River #1 (CR1),39,0,2015,4,3,1,2
Castle Rock Wind Farm (CRR1),77,0,2015,4,3,1,2
Cowley Ridge (CRW1),38,0,2015,4,3,1,2
Enmax Taber (TAB1),81,6,2015,4,3,1,2
Ghost Pine (NEP1),82,6,2015,4,3,1,2
